
﻿Liste des attributs	Nom du produit	Identifiant produit	Identifiant déclinaison	ean13 décl.	Prix d'achat HT	 Impact sur prix de vente (HT/TTC suivant PS version) 	 Impact sur prix de vente TTC 	 Prix de vente déclinaison HT avant remises 	 Prix de vente déclinaison TTC avant remises 	Montant de remise
9 à 10	TEE SHIRT ENFANT PANNEAU	6472	1852	2002091929664	8,6			20,83 €	25,00 €	
	Frais de port	6523	2033					4,16 €	4,99 €	
	Frais de port	6523	2155			100,01 €	120,01 €	104,17 €	125,00 €	
	Frais de port	6523	2877			33,34 €	40,01 €	37,50 €	45,00 €	
	Frais de port	6523	2955			79,18 €	95,01 €	83,33 €	100,00 €	
	Frais de port	6523	2882			8,34 €	10,01 €	12,50 €	15,00 €	
	Frais de port	6523	3251			5,84 €	7,01 €	10,00 €	12,00 €	
	Frais de port	6523	3216			37,51 €	45,01 €	41,67 €	50,00 €	
	Frais de port	6523	3014			4,09 €	4,91 €	8,25 €	9,90 €	
	Frais de port	6523	3304			12,51 €	15,01 €	16,67 €	20,00 €	
	Emballage Cadeau	6524	3015			-1,67 €	-2,00 €	 -   € 	 -   € 	
	Emballage Cadeau	6524	2065					1,67 €	2,00 €	
	Carte Cadeau	6572	2996					 -   € 	 -   € 	
OR	BOLDUC	6677	1961	2046005727151		5,29 €	6,35 €	5,39 €	6,47 €	
NOIR	BOLDUC	6677	1960	2020929319104		2,09 €	2,51 €	2,19 €	2,63 €	
BLANC	BOLDUC	6677	1959	2042947965750		3,49 €	4,19 €	3,59 €	4,31 €	
ARGENT	BOLDUC	6677	2934					0,10 €	0,12 €	
ROSE	BOLDUC	6677	3040					0,10 €	0,12 €	
BLEU	BOLDUC	6677	1962	2051232508596		2,09 €	2,51 €	2,19 €	2,63 €	
GRIS FONCE	BOLDUC	6677	2935					0,10 €	0,12 €	
MAUVE	PORTE CLEF COEUR PERLE	6715	2009	2063231428195				6,67 €	8,00 €	
JAUNE	PORTE CLEF COEUR PERLE	6715	2008	2037602074137				6,67 €	8,00 €	
MARRON	PORTE CLEF COEUR PERLE	6715	2011	2039210676994				6,67 €	8,00 €	
ORANGE	PORTE CLEF COEUR PERLE	6715	2010	2002288691244				6,67 €	8,00 €	
ROSE	PORTE CLEF COEUR PERLE	6715	2012	2002238126659				6,67 €	8,00 €	
BEIGE,54,BEIGE,54	BOB SAINT TROPEZ	6721	1997	2011711531798				16,67 €	20,00 €	
BLANC,54,BLANC,54	BOB SAINT TROPEZ	6721	1994	2023596448610				16,67 €	20,00 €	
ROUGE,58,ROUGE,58	BOB SAINT TROPEZ	6721	2003	2062734033837				16,67 €	20,00 €	
ROUGE,54,ROUGE,54	BOB SAINT TROPEZ	6721	1998	2002607384062				16,67 €	20,00 €	
BLEU,54,BLEU,54	BOB SAINT TROPEZ	6721	1995	2038556364572				16,67 €	20,00 €	
BLANC,58,BLANC,58	BOB SAINT TROPEZ	6721	1999	2055956819143				16,67 €	20,00 €	
BEIGE,58,BEIGE,58	BOB SAINT TROPEZ	6721	2002	2099934522007				16,67 €	20,00 €	
ROSE,54,ROSE,54	BOB SAINT TROPEZ	6721	1996	2031713736458				16,67 €	20,00 €	
BLEU,58,BLEU,58	BOB SAINT TROPEZ	6721	2000	2031173312032				16,67 €	20,00 €	
ROSE,58,ROSE,58	BOB SAINT TROPEZ	6721	2001	2074927458556				16,67 €	20,00 €	
ORANGE	PORTE CLEF GOLF	6724	3124					6,67 €	8,00 €	
BLEU	PORTE CLEF GOLF	6724	3092					6,67 €	8,00 €	
ROUGE	PORTE CLEF GOLF	6724	3091					6,67 €	8,00 €	
