id,nom,reference,image,ean13,categorie,prix_ht,prix_ttc,stock,remisable,article_remisable,declinaisons
6071,"BRUT ORO 75",744,,2048344419391,VIN,40.83,49.00,-1,true,true,"[]"
6072,"BRUT PLATINE 75",745,,2054622542477,VIN,40.83,49.00,0,true,true,"[]"
6073,"BRUT V12 75",746,,8032738620849,VIN,40.83,49.00,1,true,true,"[]"
6074,"BRUT ORO 150",747,,2033301545343,VIN,79.17,95.00,1,true,true,"[]"
6075,"BRUT PLATINE 150",748,,2089742434777,VIN,79.17,95.00,1,true,true,"[]"
6076,"BRUT ORO 300",749,,2071628230313,VIN,332.50,399.00,2,true,true,"[]"
6078,"BT FACTICE LAMBORGHINI 75",761,,2069565283165,VIN,20.83,25.00,0,true,true,"[]"
6079,"CHAMPAGNE LUMINEUX",770,,2097290183207,VIN,74.17,89.00,0,true,true,"[]"
6080,"COFFRET COMPLET CHAMPAGNE",771,,2013481510614,COFFRET,70.83,85.00,0,true,true,"[]"
6081,"COFFRET NOIR  2 VERRE POUR CHAMPAGNE",772,,2022542567108,COFFRET,20.83,25.00,0,true,true,"[]"
6082,"COFFRET ORANGE 2 VERRES POUR CHAMPAGNE",773,,2014624272086,COFFRET,25.00,30.00,0,true,true,"[]"
6083,"COFFRET NOIR 2 VERRES POUR VIN",774,,2076003770934,COFFRET,32.50,39.00,0,true,true,"[]"
6084,"COFFRET ORANGE 2 VERRES POUR VIN",775,,2016924309004,COFFRET,32.50,39.00,0,true,true,"[]"
6085,"DEGUSTATION VIN",800,,2010648191235,DEGUSTATION,0.00,0.00,3,true,true,"[{"id":"3286"
6086,"DEGUSTATION BIERE",801,,2027871657964,DEGUSTATION,0.00,0.00,0,true,true,"[{"id":"2032"
6087,"LED NICE GRANDE",802,,2012045752415,LED,32.50,39.00,1,true,true,"[]"
6088,"LED NICE PETITE",803,,2077590908168,LED,20.83,25.00,16,true,true,"[]"
6089,"LED VELA GRANDE",804,,2088121057484,LED,29.17,35.00,1,true,true,"[]"
6090,"LED VELA PETITE",805,,2096743264456,LED,20.83,25.00,5,true,true,"[]"
6091,"BOULE NEIGE LADY",810,,2093453528021,BRADERIE,8.33,10.00,2,true,true,"[]"
6092,"BOULE NEIGE BEAR",811,,2068063438053,BRADERIE,8.33,10.00,10,true,true,"[]"
6093,"BOULE NEIGE MAN",812,,2070703863361,BRADERIE,8.33,10.00,0,true,true,"[]"
6094,"BRACELET VICHY",820,,2034029182315,PORTE CLEF & BRACELET,12.50,15.00,-9,true,true,"[]"
6095,"BRACELET BLEU MAXIME",821,,2020345301240,PORTE CLEF & BRACELET,12.50,15.00,7,true,true,"[]"
6096,"BRACELET NOIR MAXIME",822,,2067240682104,PORTE CLEF & BRACELET,12.50,15.00,0,true,true,"[]"
6097,"BRACELET MARRON TROPEZ",823,,2037795122455,PORTE CLEF & BRACELET,12.50,15.00,15,true,true,"[]"
6098,"BRACELET ORANGE MAXIME",824,,2066407282454,PORTE CLEF & BRACELET,12.50,15.00,0,true,true,"[]"
6099,"BRIQUET TROPEZ",830,,2092017263422,DIVERS,4.17,5.00,0,true,true,"[]"
6101,"BLOC PAGE",840,,2048609036554,PAPETERIE,8.33,10.00,0,true,true,"[]"
6102,"CARNET KDO",845,,2058167846526,PAPETERIE,3.75,4.50,0,true,true,"[]"
6103,"STYLO CLOCHER",850,,2006638083437,PAPETERIE,8.33,10.00,0,true,true,"[]"
6104,"STYLO KDO",851,,2027869876841,PAPETERIE,2.08,2.50,-2,true,true,"[]"
6105,"ROULEAU CB",862,,2072589798942,CONSOMABLE INTERNE BOUTIQUE,0.10,0.12,2,true,true,"[]"
6107,"VIDE POCHE MEDIUM",862,,2070488688258,ART DE LA TABLE,8.33,10.00,0,true,true,"[]"
6110,"PARAPLUIE  BLEU",870,,2067729892819,PARAPLUIE,16.58,19.90,12,true,true,"[]"
6111,"PARAPLUIE VICHY ROSE",871,,2093494795796,PARAPLUIE,20.75,24.90,3,true,true,"[]"
